id	city	code	name	terminal	country
1	香港	HKG	香港国际机场		CN
2	北京	PEK/BJS	首都国际机场		CN
3	北京	NAY	北京南苑机场		CN
4	天津	TSN	天津滨海国际机场		CN
5	上海	PVG	上海浦东国际机场		CN
6	上海	SHA	上海虹桥国际机场		CN
7	广州	CAN	广州白云国际机场		CN
8	深圳	SZX	深圳宝安国际机场		CN
9	南京	NKG	南京禄口国际机场		CN
10	成都	CTU	成都双流国际机场		CN
11	重庆	CKG	重庆江北国际机场		CN
12	昆明	KMG	昆明长水国际机场		CN
13	杭州	HGH	杭州萧山国际机场		CN
14	西安	XIY/SIA	西安咸阳国际机场		CN
15	武汉	WUH	武汉天河国际机场		CN
16	郑州	CGO	新郑国际机场		CN
17	长春	CGQ	长春龙嘉国际机场		CN
18	长沙	CSX	长沙黄花国际机场		CN
19	太原	TYN	太原武宿机场		CN
20	大连	DLC	大连周水子国际机场		CN
21	福州	FOC	福州长乐国际机场		CN
22	厦门	XMN	厦门高崎国际机场		CN
23	海口	HAK	海口美兰国际机场		CN
24	呼和浩特	HET	呼和浩特白塔国际机场		CN
25	合肥	HFE	合肥骆岗国际机场		CN
26	哈尔滨	HRB	哈尔滨太平国际机场		CN
27	兰州	LHW	兰州中川机场		CN
28	乌鲁木齐	URC	乌鲁木齐地窝堡国际机场		CN
29	石家庄	SJW	石家庄正定国际机场		CN
30	沈阳	SHE	沈阳桃仙国际机场		CN
31	济南	TNA	济南遥墙国际机场		CN
32	银川	INC	银川河东机场		CN
33	贵阳	KWE	贵阳龙洞堡机场		CN
34	南宁	NNG	南宁吴圩国际机场		CN
35	南昌	KHN	南昌昌北国际机场		CN
36	西宁	XNN	西宁曹家堡机场		CN
37	拉萨	LXA	拉萨贡嘎机场		CN
38	青岛	TAO	青岛流亭国际机场		CN
39	宁波	NGB	宁波栎社国际机场		CN
